# 0:bincenter 1:Deltasigma_num 2:Sumwls 3:Sumwlsms 4:DeltaSigma 5:Sumwls_by_sumwl 6:rmin/2+rmax/2 7:DeltaSigma_cross 8:Sum_srcwt_per_lens 9:TotalSum_srcwt 10:SN_ErrDeltaSigma 11:SN_ErrDeltaSigma_cross 12:Jackknife_region 
1.029996e-03 4.937926e+01 6.872932e+00 4.483758e+00 1.101292e+01 3.877536e-04 1.029065e+00 5.256263e-01 8.345151e+01 1.479178e+06 5.904318e-01 5.917577e-01 10
2.010300e-01 7.571570e+01 1.715992e+01 1.119761e+01 6.761776e+00 9.681193e-04 1.630957e+00 -1.248166e-01 2.083467e+02 3.692945e+06 3.734988e-01 3.738310e-01 10
4.010300e-01 1.007011e+02 4.297749e+01 2.807083e+01 3.587394e+00 2.424682e-03 2.584893e+00 3.417521e-01 5.218030e+02 9.248958e+06 2.357973e-01 2.360332e-01 10
6.010300e-01 1.340655e+02 1.078028e+02 7.041687e+01 1.903883e+00 6.081962e-03 4.096780e+00 1.429391e-01 1.308312e+03 2.318982e+07 1.488939e-01 1.488993e-01 10
8.010300e-01 2.191670e+02 2.697775e+02 1.762359e+02 1.243600e+00 1.522017e-02 6.492958e+00 8.751266e-04 3.273301e+03 5.801925e+07 9.408057e-02 9.410359e-02 10
1.001030e+00 3.128819e+02 6.737984e+02 4.400889e+02 7.109516e-01 3.801402e-02 1.029065e+01 1.874923e-02 8.170334e+03 1.448192e+08 5.955833e-02 5.955351e-02 10
1.201030e+00 5.609595e+02 1.677720e+03 1.095638e+03 5.119937e-01 9.465275e-02 1.630957e+01 -2.194603e-02 2.032300e+04 3.602253e+08 3.773414e-02 3.773944e-02 10
-5.989700e-01 1.182566e+01 4.548126e-01 2.960567e-01 3.994390e+01 2.563624e-05 2.584893e-01 5.266548e+00 5.507581e+00 9.771000e+04 2.347931e+00 2.351640e+00 11
-3.989700e-01 2.172121e+01 1.109064e+00 7.282142e-01 2.982805e+01 6.251418e-05 4.096780e-01 8.263994e-01 1.346333e+01 2.388530e+05 1.480077e+00 1.467162e+00 11
-1.989700e-01 3.087724e+01 2.766636e+00 1.810867e+00 1.705109e+01 1.559459e-04 6.492958e-01 -6.459514e-01 3.356164e+01 5.954170e+05 9.330083e-01 9.332690e-01 11
1.029996e-03 4.959527e+01 6.892826e+00 4.497607e+00 1.102703e+01 3.885252e-04 1.029065e+00 4.872013e-01 8.370002e+01 1.484922e+06 5.896765e-01 5.908803e-01 11
2.010300e-01 7.714568e+01 1.720283e+01 1.122458e+01 6.872922e+00 9.696653e-04 1.630957e+00 -2.416397e-01 2.088985e+02 3.706068e+06 3.731224e-01 3.734360e-01 11
4.010300e-01 1.032591e+02 4.308622e+01 2.813791e+01 3.669751e+00 2.428624e-03 2.584893e+00 3.468757e-01 5.232230e+02 9.282500e+06 2.355548e-01 2.357860e-01 11
6.010300e-01 1.337626e+02 1.080661e+02 7.058100e+01 1.895164e+00 6.091321e-03 4.096780e+00 1.332546e-01 1.311719e+03 2.327121e+07 1.487393e-01 1.487507e-01 11
8.010300e-01 2.191329e+02 2.704330e+02 1.766450e+02 1.240527e+00 1.524339e-02 6.492958e+00 -1.437208e-03 3.281786e+03 5.822217e+07 9.398300e-02 9.401041e-02 11
1.001030e+00 3.096499e+02 6.753980e+02 4.410775e+02 7.020306e-01 3.806989e-02 1.029065e+01 8.655048e-03 8.191415e+03 1.453239e+08 5.949922e-02 5.949449e-02 11
1.201030e+00 5.577601e+02 1.681339e+03 1.097858e+03 5.080440e-01 9.477140e-02 1.630957e+01 -1.028779e-02 2.037035e+04 3.613904e+08 3.770087e-02 3.770721e-02 11
-5.989700e-01 1.186376e+01 4.542614e-01 2.957801e-01 4.011007e+01 2.561528e-05 2.584893e-01 5.164587e+00 5.501748e+00 9.756800e+04 2.348462e+00 2.353400e+00 12
-3.989700e-01 2.162670e+01 1.107364e+00 7.264432e-01 2.977067e+01 6.244298e-05 4.096780e-01 5.658023e-01 1.344733e+01 2.384750e+05 1.483337e+00 1.470157e+00 12
-1.989700e-01 3.081383e+01 2.763176e+00 1.808134e+00 1.704179e+01 1.558123e-04 6.492958e-01 -6.171686e-01 3.353276e+01 5.946700e+05 9.337017e-01 9.337641e-01 12
1.029996e-03 4.969041e+01 6.883270e+00 4.490533e+00 1.106559e+01 3.881397e-04 1.029065e+00 5.306307e-01 8.362124e+01 1.482939e+06 5.901231e-01 5.912494e-01 12
2.010300e-01 7.689918e+01 1.718129e+01 1.120862e+01 6.860718e+00 9.688331e-04 1.630957e+00 -2.034757e-01 2.087150e+02 3.701351e+06 3.733469e-01 3.736733e-01 12
4.010300e-01 1.029146e+02 4.302566e+01 2.809603e+01 3.662958e+00 2.426168e-03 2.584893e+00 3.122086e-01 5.226942e+02 9.269459e+06 2.357213e-01 2.359816e-01 12
6.010300e-01 1.365751e+02 1.079099e+02 7.047187e+01 1.938009e+00 6.084914e-03 4.096780e+00 1.311388e-01 1.310285e+03 2.323659e+07 1.488594e-01 1.488651e-01 12
8.010300e-01 2.175534e+02 2.700679e+02 1.763887e+02 1.233375e+00 1.522882e-02 6.492958e+00 -1.099167e-02 3.278502e+03 5.814096e+07 9.404762e-02 9.408071e-02 12
1.001030e+00 3.165999e+02 6.744303e+02 4.404203e+02 7.188586e-01 3.803035e-02 1.029065e+01 6.374805e-03 8.182319e+03 1.451052e+08 5.954292e-02 5.953927e-02 12
1.201030e+00 5.620327e+02 1.678784e+03 1.096098e+03 5.127577e-01 9.466470e-02 1.630957e+01 -1.222958e-02 2.034669e+04 3.608282e+08 3.773124e-02 3.773672e-02 12
-5.989700e-01 1.184692e+01 4.540315e-01 2.954816e-01 4.009362e+01 2.559366e-05 2.584893e-01 5.082842e+00 5.504735e+00 9.765400e+04 2.350476e+00 2.354906e+00 13
